# Rime user dictionary
#@/db_name	pinyin_simp
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	345520
#@/user_id	de2906ef-e74d-4ea7-bed0-6466917abe46
a 	啊	c=1163 d=4.67475 t=345520
fan xiang 	反向	c=17 d=1 t=324243
fan xiang 	反响	c=1 d=1 t=11169
fan xiao 	返校	c=1 d=1 t=30392
fan xu lie hua 	反序列化	c=3 d=1.79916 t=88297
fan yan 	繁衍	c=3 d=2.13974 t=238003
fan ye 	翻页	c=12 d=0.30861 t=345520
fan yi 	翻译	c=62 d=1 t=342872
fan yi cheng 	翻译成	c=2 d=1 t=226965
fan yi ci 	反义词	c=1 d=1 t=200470
fan yin 	翻印	c=1 d=1 t=220529
fan ying 	反应	c=9 d=1 t=322466
fan ying 	反映	c=31 d=1 t=334341
fan you 	饭友	c=6 d=1.89137 t=93331
fan yu 	繁育	c=1 d=1 t=273795
fan za 	繁杂	c=1 d=1 t=300441
fan zheng 	反正	c=34 d=1 t=320183
fan zhi 	反之	c=4 d=1 t=288552
fan zhong 	繁重	c=1 d=1 t=226081
fan zhuai 	饭拽	c=2 d=1.00004 t=286501
fan zhuan 	反转	c=2 d=1 t=204864
fan zhuo 	饭桌	c=1 d=1 t=329061
fan zi 	贩子	c=0 d=0.1 t=220632
fan zui 	犯罪	c=2 d=1.9802 t=251178
fang 	坊	c=21 d=3.14082 t=340768
fang 	房	c=11 d=1.99005 t=311999
fang 	放	c=152 d=1.00008 t=344675
fang 	方	c=67 d=1.00001 t=339939
fang 	访	c=2 d=1 t=175322
fang 	防	c=5 d=1 t=324812
fang ai 	妨碍	c=1 d=1 t=163727
fang an 	方案	c=333 d=1.12503 t=344986
fang an yi 	方案一	c=1 d=1 t=106368
fang bei 	防备	c=1 d=1 t=35482
fang bian 	方便	c=122 d=0.00366455 t=345520
fang bian de 	方便地	c=2 d=1 t=199683
fang bian mian 	方便面	c=1 d=1 t=298087
fang cha 	方差	c=1 d=1 t=208571
fang chen 	防尘	c=1 d=1 t=260541
fang cheng 	方程	c=2 d=1 t=48218
fang chu 	放出	c=2 d=1 t=295768
fang chu lai 	放出来	c=1 d=1 t=272901
fang da 	放大	c=7 d=1 t=333622
fang dai 	房贷	c=15 d=1.99501 t=326954
fang dao 	放到	c=60 d=1 t=340333
fang dian 	放电	c=1 d=1 t=174906
fang diao 	放掉	c=1 d=1 t=188506
fang dong 	房东	c=2 d=1 t=139932
fang fa 	方法	c=160 d=1.19024 t=337934
fang fa lun 	方法论	c=5 d=1 t=226786
fang fa ming 	方法名	c=4 d=1 t=183114
fang fan 	防范	c=1 d=1 t=144084
fang fang 	芳芳	c=3 d=1 t=159963
fang fei 	放飞	c=1 d=1 t=147917
fang fu 	仿佛	c=2 d=1.99501 t=51650
fang ge 	放歌	c=1 d=1.06079 t=37265
fang gei 	放给	c=1 d=1 t=285560
fang hai xia 	方海霞	c=6 d=1 t=342778
fang hao 	房号	c=1 d=1 t=204461
fang hui 	放回	c=1 d=1 t=102769
fang huo qiang 	防火墙	c=2 d=1 t=72878
fang jia 	房价	c=1 d=1 t=38082
fang jia 	放假	c=14 d=0.1 t=343103
fang jia le 	放假了	c=1 d=1 t=132606
fang jia qian 	放假钱	c=1 d=1 t=343104
fang jian 	房间	c=4 d=1 t=341680
fang jin 	放进	c=1 d=1 t=329468
fang jiu 	放久	c=2 d=1 t=162901
fang kai 	放开	c=9 d=1 t=319530
fang ke 	访客	c=2 d=1 t=317193
fang kong 	防空	c=1 d=1 t=41521
fang kuai 	方块	c=2 d=1 t=337370
fang kuan 	放宽	c=1 d=1 t=123180
fang kuang 	方框	c=1 d=1 t=233662
fang kui 	放亏	c=1 d=1 t=342155
fang le 	放了	c=3 d=1 t=326500
fang mian 	方面	c=164 d=1.00039 t=344957
fang ping 	放平	c=1 d=1 t=291816
fang qi 	放弃	c=2 d=1 t=182347
fang qing 	放晴	c=1 d=1 t=322587
fang ren 	放任	c=1 d=1 t=242099
fang ru 	放入	c=2 d=1.00001 t=18435
fang shai 	防晒	c=1 d=1 t=76422
fang shi 	方式	c=427 d=1.61861 t=345520
fang shi fang fa 	方式方法	c=1 d=1 t=176314
fang shi shi 	方式是	c=1 d=1 t=188017
fang shou 	放手	c=2 d=1.9802 t=302606
fang song 	放松	c=7 d=1 t=302276
fang tan 	访谈	c=2 d=1.33454 t=172562
fang wei 	方位	c=1 d=1 t=187648
fang wen 	访问	c=123 d=1.45713 t=343081
fang wen liang 	访问量	c=2 d=1 t=317368
fang wen ren 	访问人	c=1 d=1 t=205705
fang wu 	房屋	c=3 d=1 t=269839
fang xia 	放下	c=1 d=1 t=281253
fang xiang 	方向	c=73 d=1 t=329577
fang xiang de 	方向的	c=1 d=1 t=300564
fang xie 	仿写	c=1 d=1 t=265260
fang xin 	放心	c=4 d=1 t=311978
fang xing 	放行	c=1 d=1 t=118089
fang xue 	放学	c=12 d=1 t=282623
fang yan 	方言	c=1 d=1 t=94117
fang yan hua 	放烟花	c=1 d=1 t=326456
fang zai 	放在	c=114 d=1 t=341663
fang zhe 	放着	c=4 d=1 t=183697
fang zhi 	放置	c=7 d=1 t=308018
fang zhi 	防止	c=32 d=1 t=344751
fang zhi 	防治	c=1 d=1 t=115961
fang zi 	房子	c=8 d=1 t=302894
fang zong 	放纵	c=2 d=1 t=55260
fang zu 	房租	c=5 d=3.7777 t=340241
fei 	废	c=9 d=1 t=306202
fei 	肥	c=1 d=1 t=40294
fei 	菲	c=1 d=1 t=305565
fei 	费	c=47 d=1 t=339878
fei 	非	c=118 d=0.0434913 t=345520
fei 	飞	c=13 d=1 t=345395
fei ben 	飞奔	c=1 d=1 t=339103
fei bu 	肺部	c=1 d=1 t=281194
fei cha 	非查	c=1 d=1 t=151339
fei chai 	废柴	c=2 d=1 t=190286
fei chang 	肥肠	c=1 d=1 t=326167
fei chang 	非常	c=143 d=0.0078074 t=345520
fei chang cha 	非常查	c=1 d=1 t=119475
fei chang da 	非常大	c=2 d=1 t=340207
fei chang di 	非常第	c=1 d=1 t=194933
fei chang duo 	非常多	c=3 d=1 t=300370
fei chang hao 	非常好	c=4 d=1 t=300257
fei chang jin 	非常近	c=1 d=1 t=320443
fei chang mang 	非常忙	c=1 d=1 t=129474
fei chang xing 	非常行	c=1 d=1 t=172874
fei chu 	废除	c=2 d=1 t=231220
fei chuan 	飞船	c=1 d=1 t=205634
fei ci 	菲茨	c=1 d=1 t=217623
fei dian 	费电	c=1 d=1 t=300766
fei diao 	废掉	c=6 d=1 t=286719
fei fa 	非法	c=7 d=1.86936 t=185530
fei fu 	肺腑	c=1 d=1 t=147265
fei gong zuo 	非工作	c=1 d=1 t=276478
fei guo 	飞过	c=0 d=0.1 t=339119
fei guo qu 	飞过去	c=1 d=1 t=339120
fei ji 	飞机	c=4 d=1 t=177613
fei jia 	肥家	c=1 d=1 t=35386
fei jia meng 	非加盟	c=1 d=1 t=307716
fei jin 	费劲	c=1 d=1 t=136240
fei kong 	非空	c=1 d=1 t=184460
fei kuai 	飞快	c=2 d=1 t=310649
fei le 	费了	c=1 d=1 t=171145
fei lei 	非类	c=1 d=1 t=157257
fei li 	费力	c=1 d=1 t=296629
fei lv 	费率	c=5 d=1.0413 t=345520
fei lv bin 	菲律宾	c=75 d=1 t=312713
fei ni ji 	腓尼基	c=1 d=1 t=205511
fei ni mo shu 	非你莫属	c=1 d=1 t=187373
fei pin 	废品	c=1 d=1 t=130324
fei qi 	废弃	c=67 d=2.46617 t=289905
fei qi de 	废弃的	c=1 d=1 t=22565
fei qian 	费钱	c=2 d=1 t=304016
fei shang 	飞上	c=4 d=1 t=300342
fei shi 	费时	c=1 d=1 t=296628
fei shi shi 	非实时	c=1 d=1 t=156820
fei shou 	费手	c=1 d=1 t=315931
fei shu 	飞书	c=82 d=1.0146 t=345447
fei shu hui 	飞书会	c=1 d=1 t=257875
fei shu qun 	飞书群	c=2 d=1.00053 t=320707
fei su 	飞速	c=1 d=1 t=173931
fei wu 	废物	c=1 d=1 t=322977
fei xin 	费心	c=1 d=1 t=4693
fei xing 	飞行	c=1 d=1 t=192219
fei xu gou 	非虚构	c=1 d=0.0051953 t=345520
fei ya 	非雅	c=1 d=1 t=59486
fei yan 	肺炎	c=9 d=1 t=305150
fei yao 	非要	c=1 d=1 t=328947
fei yong 	费用	c=196 d=7.28489 t=340304
fei yong xiang 	费用项	c=1 d=1 t=331291
fen 	份	c=88 d=1.01936 t=343194
fen 	分	c=139 d=0.0313284 t=345520
fen 	粉	c=10 d=1 t=321084
fen 	芬	c=0 d=0.1 t=144633
fen 	酚	c=0 d=0.1 t=281006
fen bi 	粉笔	c=1 d=1 t=16045
fen bian 	分辨	c=10 d=1 t=325861
fen bian lv 	分辨率	c=3 d=1 t=290133
fen biao 	分表	c=1 d=1 t=30016
fen bie 	分别	c=43 d=1 t=342906
fen bo 	分拨	c=479 d=2.48664 t=339430
fen bo bao 	分拨包	c=5 d=1 t=71478
fen bo cuo fa 	分拨错发	c=1 d=1 t=251834
fen bo lu you 	分拨路由	c=1 d=1 t=204365
fen bu 	分布	c=80 d=1.26664 t=317599
fen bu shi 	分布式	c=28 d=1 t=290826
fen bu tu 	分布图	c=5 d=1 t=237461
fen ceng 	分层	c=8 d=1.93239 t=249134
fen cheng 	分成	c=22 d=1.20701 t=298218
fen chu 	分出	c=2 d=1 t=252264
fen ci 	分词	c=2 d=1.99005 t=43311
fen dan 	分单	c=14 d=1.79453 t=171348
fen de 	分得	c=1 d=1 t=146953
fen duan 	分段	c=29 d=1 t=339442
fen e 	份额	c=1 d=1 t=42469
fen fa 	分发	c=9 d=1 t=307262
fen fan 	纷繁	c=1 d=1.00109 t=302466
fen fan fu za 	纷繁复杂	c=1 d=1 t=301563
fen fen 	分分	c=0 d=0.1 t=170959
fen fen zhong 	分分钟	c=2 d=1 t=316553
fen ge 	分割	c=2 d=1 t=102626
fen ge 	分隔	c=2 d=1.97531 t=314019
fen gei 	分给	c=2 d=1 t=343029
fen gong 	分工	c=7 d=1 t=214060
fen gong lei 	分工类	c=1 d=1 t=188660
fen gong si 	分公司	c=65 d=1.00009 t=344269
fen hong 	粉红	c=1 d=1 t=180269
fen ji 	分级	c=22 d=1 t=308351
fen jian 	分拣	c=30 d=1 t=318482
fen jian ma 	分拣码	c=3 d=1 t=219379
fen jian shi jian 	分拣时间	c=1 d=1 t=205731
fen jian xian 	分拣线	c=2 d=1.69768 t=259971
fen jie 	分解	c=23 d=1 t=343399
fen jie cheng 	分解成	c=1 d=1 t=273432
fen ju 	分句	c=1 d=1 t=188464
fen kai 	分开	c=17 d=1 t=331386
fen ku 	分库	c=1 d=1 t=3133
fen kui 	分亏	c=1 d=1 t=7240
fen lei 	分类	c=122 d=0.00937227 t=345520
fen lei xing 	分类型	c=1 d=1 t=310157
fen li 	分离	c=41 d=1 t=336306
fen lie 	分裂	c=1 d=1 t=154422
fen liu 	分流	c=1 d=1 t=30137
fen men bie lei 	分们别类	c=1 d=1 t=11147
fen men bie lei 	分门别类	c=1 d=1 t=294097
fen mi 	分泌	c=1 d=1 t=180255
fen ming 	分明	c=1 d=1 t=181612
fen mo 	粉末	c=2 d=1.60957 t=32794
fen mu 	分母	c=12 d=1 t=319353
fen mu 	坟墓	c=1 d=1 t=174526
fen pei 	分配	c=55 d=1 t=334537
fen pi 	分批	c=2 d=1 t=133636
fen pian 	份偏	c=1 d=1 t=38416
fen pian 	分片	c=10 d=1.6686 t=43296
fen qi 	分歧	c=1 d=1 t=323034
fen qing 	分清	c=1 d=1 t=205254
fen qing 	愤青	c=1 d=1 t=205253
fen qu 	分区	c=49 d=1.98023 t=339196
fen sai 	份塞	c=1 d=1 t=340638
fen san 	分散	c=15 d=1 t=340639
fen san pian 	分散片	c=1 d=1 t=273971
fen se 	粉色	c=1 d=1 t=266285
fen shu 	分属	c=1 d=1 t=265199
fen shu 	分数	c=2 d=1.00001 t=164986
fen shu xian 	分数线	c=1 d=1 t=84092
fen shu yu 	分属于	c=1 d=1 t=183671
fen si 	粉丝	c=1 d=0.1 t=330239
fen si bao 	粉丝包	c=1 d=1 t=240601
fen si tang 	粉丝汤	c=1 d=1 t=330240
fen tan 	分摊	c=12 d=3.10164 t=328902
fen tong 	分桶	c=1 d=1 t=37725
fen wan 	分完	c=1 d=1 t=49977
fen wei 	分为	c=25 d=1 t=328385
fen wei 	氛围	c=1 d=1 t=35585
fen xi 	分析	c=1191 d=1.0558 t=344971
fen xi de 	分析的	c=2 d=1 t=278708
fen xi dui xiang 	分析对象	c=1 d=1 t=299745
fen xi hao 	分析好	c=1 d=1 t=254437
fen xi he 	分析和	c=1 d=1 t=267351
fen xi hou 	分析后	c=1 d=1 t=164663
fen xi lei 	分析类	c=1 d=1 t=160088
fen xi tao lun 	分析讨论	c=1 d=1 t=308043
fen xi wan 	分析完	c=1 d=1 t=153278
fen xi wen dang 	分析文档	c=1 d=1 t=204618
fen xi xia 	分析下	c=2 d=1 t=301359
fen xi zhe ge 	分析这个	c=1 d=1 t=41890
fen xi zhong 	分析中	c=2 d=1 t=317858
fen xia 	分下	c=1 d=1 t=251819
fen xiang 	分享	c=42 d=1.40657 t=343222
fen xiang hui 	分享会	c=4 d=1 t=330234
fen xin 	分心	c=1 d=1 t=161156
fen xun 	份寻	c=1 d=1 t=110660
fen ye 	分页	c=7 d=1.96079 t=250606
fen yuan 	分院	c=1 d=1 t=266510
fen zhi 	分支	c=50 d=1.92774 t=327100
fen zhi 	分治	c=2 d=1.49907 t=15305
fen zhong 	分钟	c=50 d=1 t=345518
fen zhong de 	分钟的	c=1 d=1 t=328952
fen zhong ji 	分钟级	c=5 d=1.90032 t=282734
fen zi 	分子	c=11 d=1.98511 t=319351
fen zi shi 	分子式	c=1 d=1 t=117674
fen zi xiang 	分子项	c=1 d=1 t=260257
fen zu 	分组	c=51 d=1.00263 t=338228
feng 	凤	c=3 d=1.89514 t=60046
feng 	封	c=13 d=0.484325 t=345520
feng 	峰	c=7 d=1 t=140037
feng 	疯	c=1 d=1 t=165345
feng 	缝	c=1 d=1 t=42574
feng 	逢	c=1 d=1 t=310026
feng 	锋	c=9 d=1 t=192845
feng 	风	c=12 d=1 t=327908
feng bi 	封闭	c=5 d=1 t=301379
feng chui 	风吹	c=0 d=0.1 t=287661
feng feng 	封封	c=1 d=1 t=45904
feng feng 	锋锋	c=2 d=1.00631 t=29693
feng fu 	丰富	c=32 d=1 t=343435
feng ge 	风格	c=5 d=1 t=345302
feng he ri li 	风和日丽	c=1 d=1 t=33200
feng huang 	凤凰	c=4 d=1.07637 t=238023
feng jing 	风景	c=4 d=3.94082 t=173896
feng kong 	风控	c=58 d=1 t=344922
feng kong zu 	风控组	c=2 d=1.8825 t=20897
feng ling 	峰灵	c=1 d=1 t=22306
feng ma xiu 	疯马秀	c=1 d=1 t=278247
feng man 	丰满	c=2 d=1 t=300616
feng mi 	蜂蜜	c=1 d=1 t=307031
feng mian 	封面	c=1 d=0.00316691 t=345520
feng niao 	蜂鸟	c=2 d=1 t=308462
feng qi lu 	凤起路	c=1 d=1 t=321195
feng qian 	封签	c=21 d=1 t=87371
feng qian hao 	封签号	c=4 d=1.23286 t=66185
feng qing 	风情	c=1 d=1 t=52552
feng rao 	丰饶	c=1 d=1 t=329057
feng shan 	风扇	c=1 d=1 t=311969
feng sheng 	丰盛	c=2 d=1 t=48293
feng su 	风俗	c=2 d=1 t=253135
feng wang 	丰网	c=3 d=1 t=297038
feng xian 	风险	c=27 d=1 t=344929
feng xian dian 	风险点	c=1 d=1 t=84032
feng yu 	风雨	c=1 d=1 t=232595
feng zhi 	峰值	c=4 d=2.12938 t=208759
feng zhuang 	封装	c=12 d=1 t=273481
fo 	佛	c=3 d=1 t=270739
fou 	否	c=36 d=1 t=324503
fou ze 	否则	c=46 d=1 t=341533
fu 	付	c=39 d=0.847894 t=345520
fu 	傅	c=2 d=1 t=33654
fu 	复	c=1 d=0.1 t=252776
fu 	幅	c=0 d=0.1 t=228980
fu 	府	c=2 d=1.96561 t=59264
fu 	弗	c=0 d=0.1 t=219489
fu 	扶	c=0 d=0.1 t=48044
fu 	拂	c=1 d=1 t=205548
fu 	服	c=0 d=0.1 t=187618
fu 	父	c=8 d=1.00009 t=91395
fu 	甫	c=1 d=0.167797 t=345520
fu 	福	c=6 d=0.00157762 t=345520
fu 	符	c=1 d=1 t=173844
fu 	负	c=5 d=1 t=337382
fu 	赋	c=2 d=1 t=206217
fu 	赴	c=1 d=1 t=247635
fu 	附	c=11 d=1 t=343664
fu bao 	福报	c=1 d=1 t=279778
fu bei 	父辈	c=1 d=1 t=84544
fu ben 	副本	c=8 d=1 t=336582
fu ben ji 	副本集	c=1 d=1 t=132120
fu bu 	腹部	c=2 d=1 t=127937
fu bu fu za 	复不复杂	c=1 d=1 t=221203
fu cha 	复查	c=13 d=1.81465 t=286932
fu chen 	付晨	c=1 d=1 t=4365
fu chen 	傅晨	c=1 d=1 t=33656
fu cheng 	傅程	c=2 d=1.78663 t=33714
fu chu 	付出	c=3 d=1 t=271789
fu chu shui mian 	浮出水面	c=1 d=1 t=64944
fu dai 	附带	c=2 d=1 t=262589
fu dan 	负担	c=3 d=1 t=204142
fu dao 	辅导	c=1 d=1 t=193206
fu de 	福德	c=1 d=1.07711 t=180380
fu di 	复地	c=1 d=1 t=199056
fu dian 	浮点	c=1 d=0.1 t=344801
fu dian shu 	浮点数	c=1 d=1 t=344802
fu dong 	浮动	c=1 d=1 t=261901
fu du 	幅度	c=2 d=1 t=297922
fu fang 	复方	c=4 d=1 t=281100
fu fei 	付费	c=7 d=1 t=305776
fu fen xi 	复分析	c=1 d=1 t=178062
fu gai 	覆盖	c=42 d=0.0001441 t=345520
fu gai lv 	覆盖率	c=3 d=1.72253 t=264288
fu hao 	符号	c=12 d=0.1 t=328405
fu he 	复合	c=6 d=1 t=344810
fu he 	符合	c=38 d=1 t=339858
fu hua 	腐化	c=1 d=0.00071546 t=345520
fu huo 	复活	c=1 d=1 t=141346
fu jia 	附加	c=12 d=1 t=340968
fu jian 	附件	c=48 d=1 t=345174
fu jin 	附近	c=18 d=1 t=344189
fu ke 	复刻	c=1 d=1 t=320706
fu kuan 	付款	c=6 d=0.1 t=269512
fu kuan ma 	付款码	c=1 d=1 t=269513
fu lan 	腐烂	c=4 d=1 t=128205
fu lei 	弗雷	c=0 d=0.1 t=140026
fu li 	福利	c=3 d=1 t=196111
fu mian 	负面	c=1 d=1 t=299937
fu mu 	父母	c=1 d=1 t=168452
fu nv 	妇女	c=1 d=1 t=228256
fu pan 	复盘	c=45 d=1 t=345026
fu qian 	付钱	c=7 d=1 t=297473
fu qian 	肤浅	c=2 d=0.109154 t=345520
fu qin 	父亲	c=1 d=1 t=286634
fu ren 	服人	c=1 d=1 t=315747
fu shi 	服侍	c=1 d=1 t=344263
fu shi 	腐蚀	c=1 d=1 t=281231
fu tie 	服贴	c=1 d=1 t=322648
fu weng 	富翁	c=1 d=1 t=30101
fu wu 	服务	c=312 d=0.020072 t=345520
fu wu duan 	服务端	c=30 d=3.64046 t=191521
fu wu dui 	服务队	c=1 d=0.00172074 t=345520
fu wu fei 	服务费	c=1 d=1 t=313912
fu wu hua 	服务化	c=5 d=1 t=264996
fu wu jian 	服务间	c=2 d=1.00345 t=36579
fu wu ming 	服务名	c=1 d=1 t=107655
fu wu qi 	服务器	c=53 d=1.68729 t=336288
fu wu shi 	服务时	c=1 d=1 t=25436
fu wu yuan 	服务员	c=1 d=1 t=172716
fu wu zhan 	服务站	c=1 d=0.00180897 t=345520
fu xi 	复习	c=8 d=1 t=209986
fu xian 	复现	c=3 d=1.98511 t=110400
fu xing lian he 	复星联合	c=1 d=1 t=227294
fu xuan 	付选	c=1 d=1 t=165054
fu xuan kuang 	复选框	c=4 d=1 t=312871
fu yang 	抚养	c=1 d=1 t=58917
fu yi 	辅以	c=2 d=1 t=298914
fu yong 	复用	c=37 d=1 t=307210
fu yong 	服用	c=1 d=1 t=37853
fu yong du 	复用度	c=13 d=1 t=307236
fu yong lv 	复用率	c=3 d=1 t=291487
fu yong xing 	复用性	c=5 d=1 t=299092
fu you 	附有	c=1 d=1 t=205444
fu yu 	赋予	c=4 d=1 t=229891
fu za 	复杂	c=83 d=0.0424257 t=345520
fu za du 	复杂度	c=30 d=1 t=336757
fu za du gao 	复杂度高	c=1 d=1 t=182787
fu za xing 	复杂性	c=3 d=1 t=306240
fu zai 	负载	c=6 d=1 t=290355
fu zai jun heng 	负载均衡	c=1 d=1 t=36748
fu ze 	负责	c=265 d=0.0426342 t=345520
fu ze ren 	负责人	c=107 d=1.20814 t=344878
fu zhen 	复诊	c=1 d=1 t=269653
fu zhi 	复制	c=43 d=0.000147482 t=345520
fu zhi 	赋值	c=18 d=1 t=312659
fu zhi dao 	复制到	c=1 d=1 t=223942
fu zhi ji 	复制集	c=4 d=1.96079 t=42961
fu zhu 	付诸	c=1 d=1.09501 t=154144
fu zhu 	腐竹	c=1 d=1 t=287270
fu zhu 	辅助	c=10 d=1 t=344970
fu zhu lei 	辅助类	c=1 d=1 t=87859
fu zhu xing dong 	付诸行动	c=1 d=1 t=154145
fu zhu xing dong 	辅助行动	c=1 d=1 t=154081
fu zhuang 	服装	c=1 d=1 t=35137
fu zhuo 	附着	c=1 d=1 t=281178
fu zi 	夫子	c=0 d=0.1 t=177478
fu zi 	父子	c=2 d=1 t=321191
fu zong 	副总	c=1 d=1 t=256605
fu zu 	富足	c=1 d=1 t=340222
fu zuo yong 	副作用	c=4 d=1 t=203681
ga li 	咖喱	c=2 d=1.99501 t=321665
gai 	改	c=254 d=0.00744658 t=345520
gai 	盖	c=6 d=1.93707 t=329384
gai 	该	c=139 d=9.09683e-06 t=345520
gai ban 	改版	c=23 d=0.1 t=302409
gai bian 	改变	c=22 d=1 t=327819
gai biao 	改表	c=2 d=1 t=244064
gai bu liao 	改不了	c=1 d=1 t=186751
gai cheng 	改成	c=68 d=0.000805125 t=345520
gai cheng shu pai 	改成竖排	c=1 d=9.51553e-05 t=345520
gai cuo 	改错	c=1 d=1 t=34893
gai dai dong 	该带动	c=1 d=9.14242e-05 t=345520
gai dao 	改到	c=2 d=1 t=287022
gai diao 	改掉	c=7 d=1 t=310906
gai dong 	改动	c=23 d=1 t=343774
gai dong dian 	改动点	c=1 d=1 t=71144
gai gai 	改改	c=8 d=1 t=305823
gai gan ma 	该干嘛	c=1 d=1 t=82869
gai ge 	改革	c=2 d=1 t=328582
gai guo 	该国	c=2 d=1 t=79754
gai hao 	盖好	c=1 d=1 t=261394
gai jia 	改嫁	c=1 d=1 t=91037
gai jiao 	盖浇	c=3 d=1.00003 t=306179
gai jin 	改进	c=16 d=1.00219 t=344017
gai kuang 	概况	c=12 d=1.90032 t=331975
gai kuo 	概括	c=1 d=1 t=251515
gai lai 	改来	c=1 d=1 t=209776
gai lan 	概览	c=4 d=2.58312 t=221882
gai le 	改了	c=2 d=1.60653 t=237272
gai lue 	概略	c=3 d=1 t=307928
gai lv 	概率	c=13 d=1 t=341006
gai ming 	改名	c=4 d=1 t=336879
gai nian 	概念	c=40 d=1 t=329815
gai qi lai 	改起来	c=1 d=1 t=240270
gai qian 	改签	c=1 d=1 t=3348
gai qu 	该区	c=1 d=1 t=209777
gai shan 	改善	c=42 d=0.00194013 t=345520
gai shang 	盖上	c=1 d=1 t=329376
gai shu 	概述	c=1 d=1 t=224601
gai tian 	改天	c=2 d=1 t=229555
gai tou 	改投	c=1 d=1 t=24993
gai wan 	改完	c=2 d=1 t=74969
gai wei 	改为	c=44 d=1 t=328204
gai xia 	改下	c=1 d=1 t=105225
gai xie 	改写	c=3 d=1 t=25022
gai yao 	概要	c=8 d=1.97531 t=277085
gai yong 	改用	c=4 d=1 t=259855
gai yue 	该月	c=2 d=1 t=281474
gai zao 	改造	c=43 d=1.43859 t=302078
gai zhang 	盖章	c=1 d=1 t=15471
gai zheng 	改正	c=3 d=1 t=238217
gai zhu 	盖住	c=1 d=1 t=236790
gai zi 	盖子	c=1 d=1 t=261393
gan 	干	c=38 d=1 t=344243
gan 	感	c=11 d=2.1521 t=281240
gan 	擀	c=1 d=1 t=268182
gan 	敢	c=10 d=1 t=273336
gan 	赶	c=16 d=1 t=339107
gan ba ba 	干巴巴	c=2 d=1 t=291772
gan bei 	干杯	c=3 d=1 t=329540
gan cai 	干菜	c=0 d=0.1 t=240589
gan cao 	甘草	c=2 d=1 t=281101
gan cui 	干脆	c=5 d=1 t=261397
gan dao 	感到	c=1 d=1 t=32315
gan dao 	赶到	c=1 d=1 t=131471
gan de 	干的	c=1 d=1 t=100696
gan de 	赶得	c=1 d=1 t=121258
gan diao 	干掉	c=1 d=1 t=86598
gan dong 	感动	c=3 d=1 t=285570
gan duan 	感端	c=1 d=1 t=191219
gan en 	感恩	c=1 d=1 t=285551
gan en jie 	感恩节	c=2 d=1.82283 t=285581
gan ga 	尴尬	c=7 d=1.99501 t=322719
gan gong 	赶工	c=1 d=1 t=106075
gan guo bao cai 	干锅包菜	c=1 d=1 t=2452
gan huo 	干活	c=7 d=1 t=322918
gan ji 	感激	c=1 d=1 t=340398
gan jin 	赶紧	c=44 d=1.20495 t=329829
gan jing 	干净	c=8 d=9.95351e-05 t=345520
gan jue 	感觉	c=222 d=0.0357931 t=345520
gan jue dao 	感觉到	c=1 d=1 t=182987
gan kai 	感慨	c=1 d=1 t=321783
gan kang 	感康	c=1 d=1 t=253220
gan ke 	干咳	c=1 d=1 t=258201
gan lai 	赶来	c=1 d=1 t=92569
gan le 	干了	c=1 d=1 t=155545
gan ma 	干嘛	c=6 d=1 t=278894
gan mao 	感冒	c=19 d=1.13408 t=344183
gan mao ling 	感冒灵	c=1 d=1 t=282638
gan mao yao 	感冒药	c=1 d=1 t=251419
gan na 	干拿	c=1 d=1 t=18008
gan nan 	甘南	c=1 d=1 t=176212
gan nan qi cheng 	赣南脐橙	c=1 d=1 t=132641
gan qiao 	赶巧	c=2 d=1 t=126659
gan qing 	感情	c=1 d=1 t=284626
gan ran 	感染	c=5 d=1 t=255882
gan rao 	干扰	c=17 d=1 t=311490
gan sha 	干啥	c=14 d=1 t=318402
gan shang 	感伤	c=3 d=1 t=209388
gan shang 	赶上	c=2 d=1 t=125556
gan shang a 	感伤啊	c=1 d=1 t=180374
gan she 	干涉	c=1 d=1 t=32493
gan shen me 	干什么	c=1 d=1 t=134594
gan shou 	感受	c=20 d=1 t=322732
gan shou dao 	感受到	c=2 d=1 t=210312
gan shou xia 	感受下	c=1 d=1 t=84214
gan si 	干死	c=1 d=1 t=279753
gan su 	甘肃	c=1 d=1 t=321874
gan tan 	感叹	c=1 d=1 t=92316
gan te tu 	甘特图	c=1 d=1 t=196221
gan wu 	感悟	c=2 d=1.92312 t=238045
gan xi 	干洗	c=1 d=1 t=32201
gan xi 	干系	c=0 d=0.1 t=201500
gan xi ren 	干系人	c=1 d=1 t=201501
gan xian 	干线	c=47 d=1 t=345520
gan xian sao miao yuan 	干线扫描员	c=1 d=1 t=65012
gan xiao 	干小	c=1 d=1 t=69507
gan xie 	感谢	c=95 d=1 t=340432
gan xie wo 	感谢我	c=1 d=1 t=226593
gan xing 	感性	c=2 d=1 t=222799
gan xing qu 	感兴趣	c=2 d=1 t=134619
gan xing qu de 	感兴趣的	c=1 d=1 t=4334
gan ya zi 	赶鸭子	c=1 d=1 t=202925
gan yan 	感言	c=6 d=2.63338 t=340431
gan yang 	干痒	c=2 d=1 t=143153
gan you 	甘油	c=1 d=1 t=307166
gan yu 	干预	c=1 d=1 t=96045
gan zai 	赶在	c=3 d=1 t=306428
gan zao 	干燥	c=1 d=1 t=293202
gan zhe 	干着	c=1 d=1 t=196618
gan zhe 	赶着	c=1 d=1 t=166685
